Name,Price,Condition,Mileage,Engine_Capacity,Region
2015 Perodua MYVI 1.3 PREMIUM X FACELIFT (A),28000,Used,120000 - 129999,1298,Negeri Sembilan
2015 Nissan NAVARA 2.5(A)4×4 HARGA SIAP TUKARNAMA,58200,Used,100000 - 109999,2488,Kuala Lumpur
2017 Ford RANGER 2.2 XLT (M) NO PROCESSING FEES,61900,Used,100000 - 109999,2198,Kuala Lumpur
r2018 Ford RANGER 2.2 XLT (A) FULL SERVICE RECORD,71900,Used,90000 - 94999,2198,Kuala Lumpur
2012 Honda ACCORD 2.0 VTi-L FACELIFT (A),38800,Used,100000 - 109999,1997,Selangor
"*RECOND,CBU,GRED 5A,*2020 Honda JAZZ/FIT NESS 1.3",124699,Recon,0 - 4999,1497,Selangor
2021 Proton X70 PREMIUM X 2WD 1.8L (A),103800,Used,40000 - 44999,1799,Selangor
2016 Proton IRIZ 1.3 EXECUTIVE (A),26800,Used,85000 - 89999,1332,Selangor
ALL-IN 2020 Honda CIVIC TC-PREMIUM 1.5L (A),122800,Used,40000 - 44999,1498,Selangor
2018 Nissan SERENA 2.0 S-HYBRD PREMIUM HGHWY STAR,107500,Used,100000 - 109999,1997,Selangor
2018 Toyota C-HR 1.8 (A),113800,Used,40000 - 44999,1798,Selangor
2018 Bmw 530E 2.0 SPORT (CKD) (A),170000,Used,45000 - 49999,1998,Selangor
2020 Honda CITY V 1.5L (A),64800,Used,45000 - 49999,1497,Selangor
2021 Proton X70 PREMIUM 2WD 1.8L (A),85800,Used,40000 - 44999,1799,Selangor
2020 Toyota VIOS E 1.5L (A),66800,Used,55000 - 59999,1496,Selangor
2018 Honda CIVIC 1.5 TC-PREMIUM (A),93800,Used,60000 - 64999,1498,Selangor
2006 Proton PERDANA 2.0 V6 ENHANCED VERSION 3 (A),7999,Used,300000 - 349999,1999,Selangor
2011 Suzuki ALTO 1.0 GLX (A) 1 TAHUN WARRANTY,15800,Used,85000 - 89999,996,Perak
2011 Suzuki SWIFT 1.5 VVT (A) 1 TAHUN WARRANTY,25800,Used,100000 - 109999,1490,Perak
2005 Toyota HARRIER 2.4 G (A) 6 BULAN WARRANTY,39800,Used,130000 - 139999,2362,Perak
2009 Mercedes Benz C230 AVANTGARDE 2.5 6 BLN WTY,48800,Used,130000 - 139999,2496,Perak
2011 Perodua ALZA 1.5 EZi (A) 2 THN WARRANTY,30800,Used,85000 - 89999,1495,Perak
1993 Proton WIRA 1.5 A/B GL (M) Good Condition,3800,Used,250000 - 299999,1468,Perak
2012 Chevrolet CRUZE 1.8 LT (A) 1 THN WARRANTY,21800,Used,100000 - 109999,1796,Perak
2011 Mercedes Benz C200 CGI BlueEFCY,57850,Used,100000 - 109999,1796,Kelantan
2005 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,59800,Used,95000 - 99999,2499,Perak
2009 Audi TT 2.0 S TFSI Quattro (A) 3 BLN WARRANTY,71800,Used,75000 - 79999,1984,Perak
2014 Nissan TEANA 2.0 XL (A) 3 TAHUN WARRANTY,56800,Used,60000 - 64999,1997,Perak
2006 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,63800,Used,140000 - 149999,2499,Perak
2019 Mini COOPER S COUNTRYMAN 2.0L (A),193000,Recon,20000 - 24999,1998,Selangor
2018 Fiat ABARTH 595 1.4 TURBOCHARGE  (A),139000,Recon,75000 - 79999,1368,Selangor
2017 Mini COOPER 2.0 SD CLUBMAN END YEAR PROMO (A),139000,Recon,70000 - 74999,1995,Selangor
Audi Q5 2.0 TFSI S-LINE FACELIFT [[EndYear SALE]],175000,Recon,75000 - 79999,1984,Selangor
2017 Mercedes Benz B180 (CBU) 1.6 (A),119000,Recon,55000 - 59999,1595,Selangor
Land Rover RANGE ROVER 3.0 VOGUE SDV6 (A),670000,Recon,10000 - 14999,2993,Kuala Lumpur
2019 Toyota HARRIER 2.0T LUXURY (A)Panoramic roof,173800,Used,100000 - 109999,1998,Selangor
2015 Honda CITY 1.5 V i-VTEC (A) 3 TAHUN WARRANTY,55800,Used,65000 - 69999,1497,Perak
2012 Mitsubishi PAJERO SPORT 2.5 GL (A) 3 Thn WTY,53800,Used,100000 - 109999,2477,Perak
2009 Audi A4 1.8 TFSI S-LINE (A) 3 BULAN WARRANTY,39800,Used,95000 - 99999,1798,Perak
2009 Toyota VIOS 1.5 VVTi J (M) 6 BULAN WARRANTY,27800,Used,100000 - 109999,1497,Perak
ALL-IN 2012 Volkswagen BEETLE 1.2 TSI (A),60800,Used,55000 - 59999,1197,Selangor
